2026-07-01 14:39:10 [INFO] START | dry_run=False resume=False filter=None
2026-07-01 14:39:10 [INFO] [0] Memeriksa koneksi database
2026-07-01 14:39:10 [INFO] Terhubung ke 'fkp_db' @ localhost:5432
2026-07-01 14:39:10 [INFO] Semua tabel ditemukan: provinsi, kabupaten_kota, kecamatan, kelurahan
2026-07-01 14:39:10 [INFO] [0b] Memeriksa koneksi API
2026-07-01 14:39:13 [INFO] API OK — 38 provinsi tersedia
2026-07-01 14:39:13 [INFO] [1] Membuka koneksi PostgreSQL
2026-07-01 14:39:13 [INFO] Koneksi berhasil
2026-07-01 14:39:13 [INFO] [2] Membersihkan tabel
2026-07-01 14:39:13 [INFO] Semua tabel dikosongkan
2026-07-01 14:40:20 [INFO]     KEC [110612] Darussalam
2026-07-01 14:40:20 [INFO]       29 kelurahan di Darussalam
2026-07-01 14:40:20 [INFO]     KEC [110613] Pulo Aceh
2026-07-01 14:40:21 [INFO]       17 kelurahan di Pulo Aceh
2026-07-01 14:40:21 [INFO]     KEC [110614] Lembah Seulawah
2026-07-01 14:40:21 [INFO]       12 kelurahan di Lembah Seulawah
2026-07-01 14:40:21 [INFO]     KEC [110615] Kota Jantho
2026-07-01 14:40:22 [INFO]       13 kelurahan di Kota Jantho
2026-07-01 14:40:22 [INFO]     KEC [110616] Kuta Cot Glie
2026-07-01 14:40:23 [INFO]       32 kelurahan di Kuta Cot Glie
2026-07-01 14:40:23 [INFO]     KEC [110617] Kuta Malaka
2026-07-01 14:40:23 [INFO]       15 kelurahan di Kuta Malaka
2026-07-01 14:40:23 [INFO]     KEC [110618] Simpang Tiga
2026-07-01 14:40:24 [INFO]       18 kelurahan di Simpang Tiga
2026-07-01 14:40:24 [INFO]     KEC [110619] Darul Kamal
2026-07-01 14:40:24 [INFO]       14 kelurahan di Darul Kamal
2026-07-01 14:40:24 [INFO]     KEC [110620] Baitussalam
2026-07-01 14:40:25 [INFO]       13 kelurahan di Baitussalam
2026-07-01 14:40:25 [INFO]     KEC [110621] Krueng Barona Jaya
2026-07-01 14:40:25 [INFO]       12 kelurahan di Krueng Barona Jaya
2026-07-01 14:40:25 [INFO]     KEC [110622] Leupung
2026-07-01 14:40:26 [INFO]       6 kelurahan di Leupung
2026-07-01 14:40:26 [INFO]     KEC [110623] Blang Bintang
2026-07-01 14:40:27 [INFO]       26 kelurahan di Blang Bintang
2026-07-01 14:40:27 [INFO]   KAB [1107] Kabupaten Pidie
2026-07-01 14:40:27 [INFO]     KEC [110703] Batee
2026-07-01 14:40:28 [INFO]       28 kelurahan di Batee
2026-07-01 14:40:28 [INFO]     KEC [110704] Delima
2026-07-01 14:40:28 [INFO]       44 kelurahan di Delima
2026-07-01 14:40:28 [INFO]     KEC [110705] Geumpang
2026-07-01 14:40:29 [INFO]       5 kelurahan di Geumpang
2026-07-01 14:40:29 [INFO]     KEC [110706] Glumpang Tiga
2026-07-01 14:40:29 [INFO]       34 kelurahan di Glumpang Tiga
2026-07-01 14:40:29 [INFO]     KEC [110707] Indrajaya
2026-07-01 14:40:30 [INFO]       49 kelurahan di Indrajaya
2026-07-01 14:40:30 [INFO]     KEC [110708] Kembang Tanjong
2026-07-01 14:40:31 [INFO]       45 kelurahan di Kembang Tanjong
2026-07-01 14:40:31 [INFO]     KEC [110709] Kota Sigli
2026-07-01 14:40:31 [INFO]       15 kelurahan di Kota Sigli
2026-07-01 14:40:31 [INFO]     KEC [110711] Mila
2026-07-01 14:40:32 [INFO]       20 kelurahan di Mila
2026-07-01 14:40:32 [INFO]     KEC [110712] Muara Tiga
2026-07-01 14:40:33 [INFO]       18 kelurahan di Muara Tiga
2026-07-01 14:40:33 [INFO]     KEC [110713] Mutiara
2026-07-01 14:40:34 [INFO]       29 kelurahan di Mutiara
2026-07-01 14:40:34 [INFO]     KEC [110714] Padang Tiji
2026-07-01 14:40:34 [INFO]       64 kelurahan di Padang Tiji
2026-07-01 14:40:34 [INFO]     KEC [110715] Peukan Baro
2026-07-01 14:40:35 [INFO]       48 kelurahan di Peukan Baro
2026-07-01 14:40:35 [INFO]     KEC [110716] Pidie
2026-07-01 14:40:35 [INFO]       64 kelurahan di Pidie
2026-07-01 14:40:35 [INFO]     KEC [110717] Sakti
2026-07-01 14:40:36 [INFO]       49 kelurahan di Sakti
2026-07-01 14:40:36 [INFO]     KEC [110718] Simpang Tiga
2026-07-01 14:40:36 [INFO]       52 kelurahan di Simpang Tiga
2026-07-01 14:40:36 [INFO]     KEC [110719] Tangse
2026-07-01 14:40:37 [INFO]       28 kelurahan di Tangse
2026-07-01 14:40:37 [INFO]     KEC [110721] Tiro/Truseb
2026-07-01 14:40:38 [INFO]       19 kelurahan di Tiro/Truseb
2026-07-01 14:40:38 [INFO]     KEC [110722] Keumala
2026-07-01 14:40:38 [INFO]       18 kelurahan di Keumala
2026-07-01 14:40:38 [INFO]     KEC [110724] Mutiara Timur
2026-07-01 14:40:39 [INFO]       48 kelurahan di Mutiara Timur
2026-07-01 14:40:39 [INFO]     KEC [110725] Grong-grong
2026-07-01 14:40:39 [INFO]       15 kelurahan di Grong-grong
2026-07-01 14:40:39 [INFO]     KEC [110727] Mane
2026-07-01 14:40:40 [INFO]       4 kelurahan di Mane
2026-07-01 14:40:40 [INFO]     KEC [110729] Glumpang Baro
2026-07-01 14:40:40 [INFO]       21 kelurahan di Glumpang Baro
2026-07-01 14:40:40 [INFO]     KEC [110731] Titeue
2026-07-01 14:40:41 [INFO]       13 kelurahan di Titeue
2026-07-01 14:40:41 [INFO]   KAB [1108] Kabupaten Aceh Utara
2026-07-01 14:40:42 [INFO]     KEC [110801] Baktiya
2026-07-01 14:40:42 [INFO]       57 kelurahan di Baktiya
2026-07-01 14:40:42 [INFO]     KEC [110802] Dewantara
2026-07-01 14:40:43 [INFO]       15 kelurahan di Dewantara
2026-07-01 14:40:43 [INFO]     KEC [110803] Kuta Makmur
2026-07-01 14:40:43 [INFO]       39 kelurahan di Kuta Makmur
2026-07-01 14:40:43 [INFO]     KEC [110804] Lhoksukon
2026-07-01 14:40:44 [INFO]       75 kelurahan di Lhoksukon
2026-07-01 14:40:44 [INFO]     KEC [110805] Matangkuli
2026-07-01 14:40:44 [INFO]       49 kelurahan di Matangkuli
2026-07-01 14:40:45 [INFO]     KEC [110806] Muara Batu
2026-07-01 14:40:45 [INFO]       24 kelurahan di Muara Batu
